kind	x0	x1	top	bottom	width	height
line	1924.3	1924.3	1945.3	1946.0	0.0	0.7
line	1924.3	1924.3	1946.0	1946.7	0.0	0.7
line	1924.3	1924.3	1946.7	1947.3	0.0	0.6
line	1924.3	1924.3	1947.3	1947.9	0.0	0.6
line	1924.3	1924.9	1942.0	1942.0	0.6	0.0
line	1924.9	1924.9	1942.0	1942.5	0.0	0.6
line	1924.9	1924.9	1942.5	1943.2	0.0	0.6
line	1924.9	1924.9	1943.2	1943.9	0.0	0.7
line	1924.9	1924.9	1943.9	1944.6	0.0	0.7
line	1924.9	1924.9	1944.6	1945.3	0.0	0.7
line	1924.9	1924.9	1945.3	1946.0	0.0	0.7
line	1924.9	1924.9	1946.0	1946.7	0.0	0.7
line	1924.9	1924.9	1946.7	1947.3	0.0	0.6
line	1924.9	1924.9	1947.3	1947.9	0.0	0.6
line	1924.3	1924.9	1947.9	1947.9	0.6	0.0
line	1915.0	1915.5	1929.0	1929.0	0.5	0.0
line	1914.5	1915.0	1929.0	1929.0	0.5	0.0
line	1914.0	1914.5	1929.0	1929.0	0.5	0.0
line	1913.7	1914.0	1929.0	1929.0	0.4	0.0
line	1913.4	1913.7	1929.0	1929.0	0.2	0.0
line	1913.3	1913.4	1929.0	1929.0	0.1	0.0
line	1916.6	1916.7	1929.0	1929.0	0.1	0.0
line	1916.3	1916.6	1929.0	1929.0	0.2	0.0
line	1916.0	1916.3	1929.0	1929.0	0.4	0.0
line	1915.5	1916.0	1929.0	1929.0	0.5	0.0
line	1913.3	1913.3	1929.0	1929.4	0.0	0.4
line	1916.7	1916.7	1929.0	1929.4	0.0	0.4
line	1915.0	1915.3	1925.4	1925.4	0.3	0.0
line	1914.7	1915.0	1925.4	1925.4	0.3	0.0
line	1914.5	1914.7	1925.4	1925.4	0.2	0.0
line	1914.3	1914.5	1925.4	1925.4	0.2	0.0
line	1914.2	1914.3	1925.4	1925.4	0.1	0.0
line	1914.1	1914.2	1925.4	1925.4	0.0	0.0
line	1915.8	1915.9	1925.4	1925.4	0.0	0.0
line	1915.7	1915.8	1925.4	1925.4	0.1	0.0
line	1915.5	1915.7	1925.4	1925.4	0.2	0.0
line	1915.3	1915.5	1925.4	1925.4	0.2	0.0
line	1914.1	1914.1	1925.4	1929.0	0.0	3.5
line	1915.9	1915.9	1925.4	1929.0	0.0	3.5
line	1914.2	1914.2	1925.3	1925.4	0.0	0.1
line	1915.8	1915.8	1925.3	1925.4	0.0	0.1
line	1915.0	1915.3	1925.3	1925.3	0.3	0.0
line	1914.7	1915.0	1925.3	1925.3	0.3	0.0
line	1914.5	1914.7	1925.3	1925.3	0.2	0.0
line	1914.3	1914.5	1925.3	1925.3	0.2	0.0
line	1914.2	1914.3	1925.3	1925.3	0.1	0.0
line	1914.1	1914.2	1925.3	1925.3	0.0	0.0
line	1915.8	1915.9	1925.3	1925.3	0.0	0.0
line	1915.7	1915.8	1925.3	1925.3	0.1	0.0
line	1915.5	1915.7	1925.3	1925.3	0.2	0.0
line	1915.3	1915.5	1925.3	1925.3	0.2	0.0
line	1915.0	1915.3	1924.6	1924.6	0.3	0.0
line	1914.7	1915.0	1924.6	1924.6	0.3	0.0
line	1914.5	1914.7	1924.6	1924.6	0.2	0.0
line	1914.3	1914.5	1924.6	1924.6	0.2	0.0
line	1914.2	1914.3	1924.6	1924.6	0.1	0.0
line	1914.1	1914.2	1924.6	1924.6	0.0	0.0
line	1915.8	1915.9	1924.6	1924.6	0.0	0.0
line	1915.7	1915.8	1924.6	1924.6	0.1	0.0
line	1915.5	1915.7	1924.6	1924.6	0.2	0.0
line	1915.3	1915.5	1924.6	1924.6	0.2	0.0
line	1914.1	1914.1	1925.2	1925.3	0.0	0.1
line	1914.1	1914.1	1924.6	1924.6	0.0	0.1
line	1915.9	1915.9	1924.6	1925.3	0.0	0.7
line	1931.4	1931.4	1925.2	1925.2	0.0	0.0
line	1931.3	1931.4	1925.2	1925.2	0.0	0.0
line	1931.1	1931.3	1925.2	1925.2	0.3	0.0
line	1930.5	1931.1	1925.2	1925.2	0.5	0.0
line	1929.8	1930.5	1925.2	1925.2	0.8	0.0
line	1928.9	1929.8	1925.2	1925.2	0.9	0.0
line	1931.4	1931.4	1924.6	1924.6	0.0	0.0
line	1931.3	1931.4	1924.6	1924.6	0.0	0.0
line	1931.1	1931.3	1924.6	1924.6	0.3	0.0
line	1930.5	1931.1	1924.6	1924.6	0.5	0.0
line	1929.8	1930.5	1924.6	1924.6	0.8	0.0
line	1928.9	1929.8	1924.6	1924.6	0.9	0.0
line	1931.4	1931.4	1924.6	1925.2	0.0	0.6
line	1931.3	1931.3	1924.6	1925.2	0.0	0.6
line	1927.5	1928.0	1929.0	1929.0	0.5	0.0
line	1928.0	1928.5	1929.0	1929.0	0.5	0.0
line	1928.5	1929.0	1929.0	1929.0	0.5	0.0
line	1929.0	1929.3	1929.0	1929.0	0.4	0.0
line	1929.3	1929.6	1929.0	1929.0	0.2	0.0
line	1929.6	1929.6	1929.0	1929.0	0.1	0.0
line	1926.3	1926.4	1929.0	1929.0	0.1	0.0
line	1926.4	1926.7	1929.0	1929.0	0.2	0.0
line	1926.7	1927.0	1929.0	1929.0	0.4	0.0
line	1927.0	1927.5	1929.0	1929.0	0.5	0.0
line	1929.6	1929.6	1929.0	1929.4	0.0	0.4
line	1926.3	1926.3	1929.0	1929.4	0.0	0.4
line	1927.7	1928.0	1925.4	1925.4	0.3	0.0
line	1928.0	1928.3	1925.4	1925.4	0.3	0.0
line	1928.3	1928.5	1925.4	1925.4	0.2	0.0
line	1928.5	1928.7	1925.4	1925.4	0.2	0.0
line	1928.7	1928.8	1925.4	1925.4	0.1	0.0
line	1928.8	1928.9	1925.4	1925.4	0.0	0.0
line	1927.1	1927.2	1925.4	1925.4	0.0	0.0
line	1927.2	1927.3	1925.4	1925.4	0.1	0.0
line	1927.3	1927.5	1925.4	1925.4	0.2	0.0
line	1927.5	1927.7	1925.4	1925.4	0.2	0.0
line	1928.9	1928.9	1925.4	1929.0	0.0	3.5
line	1927.1	1927.1	1925.4	1929.0	0.0	3.5
line	1928.8	1928.8	1925.3	1925.4	0.0	0.1
line	1927.2	1927.2	1925.3	1925.4	0.0	0.1
line	1927.7	1928.0	1925.3	1925.3	0.3	0.0
line	1928.0	1928.3	1925.3	1925.3	0.3	0.0
line	1928.3	1928.5	1925.3	1925.3	0.2	0.0
line	1928.5	1928.7	1925.3	1925.3	0.2	0.0
line	1928.7	1928.8	1925.3	1925.3	0.1	0.0
line	1928.8	1928.9	1925.3	1925.3	0.0	0.0
line	1927.1	1927.2	1925.3	1925.3	0.0	0.0
line	1927.2	1927.3	1925.3	1925.3	0.1	0.0
line	1927.3	1927.5	1925.3	1925.3	0.2	0.0
line	1927.5	1927.7	1925.3	1925.3	0.2	0.0
line	1927.7	1928.0	1924.6	1924.6	0.3	0.0
line	1928.0	1928.3	1924.6	1924.6	0.3	0.0
line	1928.3	1928.5	1924.6	1924.6	0.2	0.0
line	1928.5	1928.7	1924.6	1924.6	0.2	0.0
line	1928.7	1928.8	1924.6	1924.6	0.1	0.0
line	1928.8	1928.9	1924.6	1924.6	0.0	0.0
line	1927.1	1927.2	1924.6	1924.6	0.0	0.0
line	1927.2	1927.3	1924.6	1924.6	0.1	0.0
line	1927.3	1927.5	1924.6	1924.6	0.2	0.0
line	1927.5	1927.7	1924.6	1924.6	0.2	0.0
line	1928.9	1928.9	1925.2	1925.3	0.0	0.1
line	1928.9	1928.9	1924.6	1924.6	0.0	0.1
line	1927.1	1927.1	1924.6	1925.3	0.0	0.7
line	1911.6	1911.6	1925.2	1925.2	0.0	0.0
line	1911.6	1911.7	1925.2	1925.2	0.0	0.0
line	1911.7	1911.9	1925.2	1925.2	0.3	0.0
line	1911.9	1912.5	1925.2	1925.2	0.5	0.0
line	1912.5	1913.2	1925.2	1925.2	0.8	0.0
line	1913.2	1914.1	1925.2	1925.2	0.9	0.0
line	1911.6	1911.6	1924.6	1924.6	0.0	0.0
line	1911.6	1911.7	1924.6	1924.6	0.0	0.0
line	1911.7	1911.9	1924.6	1924.6	0.3	0.0
line	1911.9	1912.5	1924.6	1924.6	0.5	0.0
line	1912.5	1913.2	1924.6	1924.6	0.8	0.0
line	1913.2	1914.1	1924.6	1924.6	0.9	0.0
line	1911.6	1911.6	1924.6	1925.2	0.0	0.6
line	1911.7	1911.7	1924.6	1925.2	0.0	0.6
line	1922.4	1922.4	1937.5	1937.7	0.0	0.2
line	1942.2	1942.2	1937.5	1937.7	0.0	0.2
line	1900.8	1900.8	1937.5	1937.7	0.0	0.2
line	1920.6	1920.6	1937.5	1937.7	0.0	0.2
line	1921.5	1922.0	1928.4	1928.4	0.5	0.0
line	1921.0	1921.5	1928.4	1928.4	0.5	0.0
line	1920.6	1921.0	1928.4	1928.4	0.4	0.0
line	1920.3	1920.6	1928.4	1928.4	0.3	0.0
line	1920.0	1920.3	1928.4	1928.4	0.2	0.0
line	1920.0	1920.0	1928.4	1928.4	0.1	0.0
line	1923.0	1923.0	1928.4	1928.4	0.1	0.0
line	1922.7	1923.0	1928.4	1928.4	0.2	0.0
